FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nechat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nechat_V	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dat_V	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dat_V_Trans	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	dawac_V_Trans_Refl	NA	dat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	dawac_V_Trans_Refl	NA	dat_V_Trans_Refl	NA	NA	andma_Vda_Trans	NA	NA	NA
faire_V	make_V	NA	NA	laten_V	NA	fare_V	NA	face_sa_V_Trans_Refl	NA	pustiti_V	NA	NA	karam_da_Clause_Trans_Refl	panema_Vma	NA	NA	la_V
forcer_a_V	NA	NA	hacer_V	NA	NA	NA	forcar_a_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	hacer_V	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	fazer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	fazer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V	let_V	lassen_V	dejar_V_Trans	laten_V_Trans	lata_V	lasciare_V	deixar_V	lasa_sa_V	pozwolic_V	NA	nechat_V_Trans	NA	NA	NA	antaa_V1st	NA	la_V
laisser_V	let_V_Trans	lassen_V	dejar_V	laten_V	NA	fare_V	deixar_V	lasa_sa_V	NA	dati_da_Clause	NA	NA	NA	NA	NA	NA	la_V_Trans
NA	NA	lassen_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	nechat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
faire_V	get_to_V	bringen_zu_V	hacer_V	laten_V	fa_att_V	NA	NA	face_sa_V	NA	NA	prinutit_V	NA	NA	sundima_Vma	NA	NA	fa_til_a_V
laisser_V	let_V_Trans	NA	NA	laten_V_Trans	lata_V_Trans	lasciare_V	NA	lasa_sa_V	NA	pustiti_da_Clause	NA	NA	NA	NA	antaa_V1st	NA	la_V
laisser_V_Trans	let_V_Trans	NA	NA	laten_V_Trans	lata_V_Trans	NA	deixar_Vinfl_Trans	lasa_sa_V_Trans	pozwolic_V_Trans	pustiti_da_Clause_Trans	nechat_aby_Clause_Trans	pozvoljat_V_Trans	ostavjam_da_Clause_Trans	laskma_Vda_Trans	antaa_V1st_Trans	NA	la_V_Trans
laisser_V	NA	NA	NA	laten_V	lata_V	fare_V	NA	lasa_sa_V	pozwolic_V	NA	NA	NA	NA	NA	NA	NA	la_V
NA	NA	NA	dejar_V_Trans	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	davat_V	NA	NA	NA	NA	NA
NA	let_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	antaa_V1st	NA	NA
laisser_V	let_V_Trans	NA	NA	NA	lata_V_Trans	permettere_di_V_Trans	deixar_Vinfl_Trans	NA	pozwolic_V	NA	nechat_aby_Clause	pozwoljat_V	ostavjam_da_Clause	laskma_Vda_Trans	antaa_V1st_Trans	NA	la_V_Trans
